Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,9.420000,9.780000,9.400000,9.780000,9.199846,4400
2009-01-05,9.780000,9.950000,9.600000,9.850000,9.265697,182700
2009-01-06,9.950000,10.120000,9.950000,10.110000,9.510275,41200
2009-01-07,9.850000,9.850000,9.570000,9.640000,9.068151,10000
2009-01-08,9.620000,9.680000,9.530000,9.680000,9.105780,11300
2009-01-09,9.450000,9.570000,9.450000,9.530000,8.964678,3400
2009-01-12,9.260000,9.300000,9.050000,9.090000,8.550779,10100
2009-01-13,9.170000,9.170000,8.970000,9.080000,8.541374,23600
2009-01-14,8.920000,8.920000,8.640000,8.650000,8.136879,108000
2009-01-15,8.630000,8.950000,8.460000,8.920000,8.390864,34600
2009-01-16,9.040000,9.040000,8.810000,8.940000,8.409680,11400
2009-01-20,8.890000,8.890000,8.430000,8.430000,7.929932,7100
2009-01-21,8.470000,8.670000,8.360000,8.670000,8.155695,44700
2009-01-22,8.490000,8.980000,8.490000,8.770000,8.249763,13900
2009-01-23,8.540000,8.880000,8.540000,8.880000,8.353235,4800
2009-01-26,8.800000,8.990000,8.720000,8.870000,8.343831,9100
2009-01-27,8.980000,8.980000,8.950000,8.980000,8.447305,700
2009-01-28,9.230000,9.290000,9.210000,9.230000,8.682477,3600
2009-01-29,9.140000,9.140000,8.860000,8.860000,8.334424,10800
2009-01-30,8.890000,8.890000,8.580000,8.580000,8.071033,16800
2009-02-02,8.440000,8.570000,8.410000,8.550000,8.042810,86200
2009-02-03,8.520000,8.710000,8.460000,8.710000,8.193320,8800
2009-02-04,8.660000,8.820000,8.570000,8.570000,8.061625,14700
2009-02-05,8.500000,8.810000,8.500000,8.810000,8.287391,1100
2009-02-06,8.990000,9.000000,8.990000,9.000000,8.466118,700
2009-02-09,9.000000,9.000000,8.830000,9.000000,8.466118,5700
2009-02-10,8.970000,8.980000,8.590000,8.590000,8.080440,20600
2009-02-11,8.670000,8.670000,8.510000,8.570000,8.061625,11900
2009-02-12,8.430000,8.590000,8.430000,8.430000,7.929932,4000
2009-02-13,8.680000,8.680000,8.470000,8.500000,7.995778,6500
2009-02-17,8.230000,8.350000,8.160000,8.280000,7.788828,12400
2009-02-18,8.220000,8.220000,8.060000,8.120000,7.638320,2300
2009-02-19,8.110000,8.110000,8.110000,8.110000,7.628915,100
2009-02-20,7.920000,8.120000,7.920000,8.120000,7.638320,5400
2009-02-23,8.080000,8.080000,7.820000,7.830000,7.365523,6400
2009-02-24,7.930000,8.220000,7.930000,8.140000,7.657135,9300
2009-02-25,8.130000,8.190000,7.990000,8.140000,7.657135,12600
2009-02-26,8.120000,8.140000,8.000000,8.050000,7.572473,24100
2009-02-27,7.950000,8.030000,7.900000,7.970000,7.497218,5400
2009-03-02,7.750000,7.750000,7.510000,7.550000,7.102134,13400
2009-03-03,7.630000,7.630000,7.380000,7.420000,6.979845,23300
2009-03-04,7.510000,7.730000,7.510000,7.630000,7.177387,13200
2009-03-05,7.500000,7.600000,7.360000,7.380000,6.942216,4900
2009-03-06,7.400000,7.400000,7.190000,7.250000,6.819928,16500
2009-03-09,7.430000,7.430000,7.330000,7.330000,6.895185,1600
2009-03-10,7.280000,7.670000,7.280000,7.640000,7.186793,6500
2009-03-11,7.790000,7.890000,7.650000,7.750000,7.290269,8200
2009-03-12,7.740000,8.200000,7.630000,8.200000,7.713574,15600
2009-03-13,8.240000,8.250000,8.080000,8.250000,7.760606,6200
2009-03-16,8.330000,8.360000,8.200000,8.200000,7.713574,5000
2009-03-17,8.160000,8.390000,8.150000,8.390000,7.892303,7900
2009-03-18,8.470000,8.790000,8.470000,8.710000,8.193320,3600
2009-03-19,8.750000,8.770000,8.690000,8.760000,8.240356,9100
2009-03-20,8.770000,8.770000,8.420000,8.480000,7.976964,10800
2009-03-23,8.680000,8.830000,8.570000,8.830000,8.306202,7700
2009-03-24,8.890000,9.000000,8.750000,8.750000,8.230947,5500
2009-03-25,8.750000,8.970000,8.570000,8.840000,8.315609,6600
2009-03-26,8.970000,9.260000,8.940000,9.260000,8.710693,10500
2009-03-27,9.090000,9.100000,9.040000,9.060000,8.522562,1700
2009-03-30,8.570000,8.650000,8.570000,8.650000,8.136879,1700
2009-03-31,8.660000,8.820000,8.660000,8.770000,8.249763,1100
2009-04-01,8.540000,8.880000,8.540000,8.880000,8.353235,14600
2009-04-02,9.130000,9.550000,9.120000,9.400000,8.842390,4100
2009-04-03,9.400000,9.540000,9.340000,9.540000,8.974086,1800
2009-04-06,9.500000,9.500000,9.300000,9.400000,8.842390,17300
2009-04-07,9.230000,9.290000,8.990000,9.000000,8.466118,9400
2009-04-08,9.150000,9.200000,9.150000,9.200000,8.654255,900
2009-04-09,9.450000,9.680000,9.440000,9.680000,9.105780,233100
2009-04-13,9.790000,9.790000,9.540000,9.640000,9.068151,5600
2009-04-14,9.590000,9.590000,9.500000,9.500000,8.936458,3400
2009-04-15,9.380000,9.460000,9.330000,9.370000,8.814172,2800
2009-04-16,9.650000,9.940000,9.650000,9.930000,9.340950,3000
2009-04-17,9.970000,10.150000,9.900000,10.110000,9.510275,4200
2009-04-20,10.080000,10.080000,9.650000,9.670000,9.096375,6800
2009-04-21,9.660000,9.950000,9.660000,9.910000,9.322136,8800
2009-04-22,9.700000,10.460000,9.700000,10.270000,9.660782,425000
2009-04-23,10.350000,10.430000,10.230000,10.380000,9.764256,51300
2009-04-24,10.660000,10.710000,10.630000,10.630000,9.999425,3900
2009-04-27,11.520000,11.520000,10.280000,10.320000,9.707814,285500
2009-04-28,10.110000,10.560000,10.000000,10.390000,9.773664,6300
2009-04-29,10.690000,10.750000,10.520000,10.660000,10.027648,5200
2009-04-30,10.780000,10.910000,10.630000,10.650000,10.018241,21600
2009-05-01,10.600000,10.630000,10.500000,10.510000,9.886543,52900
2009-05-04,10.540000,11.090000,10.540000,11.090000,10.432139,96700
2009-05-05,11.100000,11.260000,11.070000,11.240000,10.573242,202400
2009-05-06,11.490000,11.490000,11.190000,11.370000,10.695529,69800
2009-05-07,11.760000,11.760000,11.080000,11.150000,10.488582,19200
2009-05-08,11.170000,11.410000,11.110000,11.220000,10.554427,7400
2009-05-11,11.520000,11.520000,10.990000,11.170000,10.507394,26900
2009-05-12,11.330000,11.330000,10.530000,10.870000,10.225191,168800
2009-05-13,10.710000,10.710000,10.370000,10.370000,9.754850,22000
2009-05-14,10.500000,10.690000,10.380000,10.550000,9.924171,289100
2009-05-15,10.500000,10.770000,10.500000,10.550000,9.924171,5700
2009-05-18,10.620000,10.990000,10.620000,10.990000,10.338073,11300
2009-05-19,11.020000,11.120000,11.010000,11.040000,10.385105,3700
2009-05-20,11.260000,11.260000,10.950000,10.950000,10.300442,11800
2009-05-21,11.060000,11.060000,10.750000,10.850000,10.206376,8500
2009-05-22,10.670000,10.810000,10.640000,10.770000,10.131124,5200
2009-05-26,10.780000,11.350000,10.780000,11.300000,10.629682,18500
2009-05-27,11.350000,11.380000,11.110000,11.110000,10.450953,3400
2009-05-28,11.020000,11.180000,10.970000,11.090000,10.432139,5800
2009-05-29,11.130000,11.400000,11.130000,11.400000,10.723752,10500
2009-06-01,11.740000,11.880000,11.600000,11.770000,11.071799,87100
2009-06-02,11.240000,11.890000,11.240000,11.890000,11.184684,101800
2009-06-03,11.740000,11.740000,11.640000,11.690000,10.996545,13500
2009-06-04,11.780000,11.780000,11.550000,11.650000,10.958920,15500
2009-06-05,11.600000,11.750000,11.600000,11.660000,10.968327,40300
2009-06-08,11.560000,11.590000,11.380000,11.530000,10.846037,8200
2009-06-09,11.540000,11.720000,11.540000,11.640000,10.949515,35500
2009-06-10,11.540000,11.810000,11.290000,11.470000,10.789599,58100
2009-06-11,11.580000,11.580000,11.220000,11.220000,10.554427,17000
2009-06-12,11.190000,11.260000,11.030000,11.260000,10.592054,98500
2009-06-15,11.140000,11.150000,10.930000,11.000000,10.347477,50800
2009-06-16,11.110000,11.120000,10.810000,10.820000,10.178157,9300
2009-06-17,10.840000,11.000000,10.740000,10.920000,10.272223,28400
2009-06-18,10.900000,11.040000,10.900000,11.020000,10.366294,3100
2009-06-19,11.150000,11.240000,11.130000,11.180000,10.536880,24000
2009-06-22,11.020000,11.020000,10.800000,10.830000,10.207013,22800
2009-06-23,10.890000,10.900000,10.730000,10.740000,10.122190,5300
2009-06-24,10.730000,10.940000,10.730000,10.770000,10.150466,26200
2009-06-25,10.860000,11.080000,10.860000,11.000000,10.367234,5500
2009-06-26,11.010000,11.180000,10.980000,11.100000,10.461484,4200
2009-06-29,11.150000,11.310000,11.090000,11.230000,10.584005,25500
2009-06-30,11.210000,11.210000,11.110000,11.150000,10.508606,1300
2009-07-01,11.330000,11.430000,11.330000,11.370000,10.715949,297700
2009-07-02,11.230000,11.230000,11.010000,11.030000,10.395508,36000
2009-07-06,10.830000,10.910000,10.770000,10.910000,10.282413,38000
2009-07-07,10.880000,10.950000,10.770000,10.770000,10.150466,166400
2009-07-08,10.910000,10.910000,10.620000,10.630000,10.018517,3900
2009-07-09,10.830000,10.890000,10.800000,10.870000,10.244711,9600
2009-07-10,10.830000,10.940000,10.740000,10.920000,10.291836,115400
2009-07-13,10.960000,11.120000,10.730000,11.100000,10.461484,27900
2009-07-14,11.100000,11.310000,11.030000,11.260000,10.612279,15000
2009-07-15,11.400000,11.490000,11.370000,11.490000,10.829045,24800
2009-07-16,11.490000,11.600000,11.430000,11.600000,10.932719,7000
2009-07-17,11.590000,11.610000,11.530000,11.610000,10.942143,26900
2009-07-20,11.580000,11.800000,11.580000,11.790000,11.111793,22800
2009-07-21,11.810000,11.870000,11.540000,11.680000,11.008119,47500
2009-07-22,11.730000,11.930000,11.730000,11.840000,11.158913,16800
2009-07-23,11.790000,12.050000,11.750000,12.000000,11.309713,99200
2009-07-24,11.850000,11.940000,11.770000,11.920000,11.234309,6000
2009-07-27,11.900000,11.930000,11.810000,11.930000,11.243737,3300
2009-07-28,11.900000,11.970000,11.830000,11.970000,11.281438,9600
2009-07-29,11.860000,11.910000,11.750000,11.830000,11.149488,35200
2009-07-30,11.890000,12.100000,11.890000,11.950000,11.262587,13900
2009-07-31,11.830000,12.020000,11.830000,11.900000,11.215462,17600
2009-08-03,12.010000,12.100000,11.930000,12.100000,11.403958,9300
2009-08-04,12.130000,12.290000,12.130000,12.230000,11.526479,9000
2009-08-05,12.050000,12.150000,12.050000,12.140000,11.441658,6700
2009-08-06,12.140000,12.160000,11.870000,11.870000,11.187187,14600
2009-08-07,12.080000,12.170000,11.970000,12.130000,11.432233,16400
2009-08-10,12.160000,12.280000,12.140000,12.230000,11.526479,11900
2009-08-11,12.000000,12.120000,11.970000,12.090000,11.394532,6400
2009-08-12,12.030000,12.180000,12.030000,12.130000,11.432233,14700
2009-08-13,12.110000,12.120000,11.950000,12.120000,11.422807,10600
2009-08-14,12.030000,12.030000,11.810000,11.870000,11.187187,10800
2009-08-17,11.850000,11.850000,11.540000,11.600000,10.932719,9100
2009-08-18,11.600000,11.720000,11.600000,11.710000,11.036389,7100
2009-08-19,11.600000,11.780000,11.600000,11.780000,11.102365,74200
2009-08-20,11.730000,11.980000,11.730000,11.980000,11.290862,24400
2009-08-21,12.050000,12.210000,12.050000,12.190000,11.488776,52200
2009-08-24,12.250000,12.250000,12.070000,12.080000,11.385112,14700
2009-08-25,12.070000,12.220000,12.070000,12.150000,11.451082,10300
2009-08-26,12.070000,12.120000,12.050000,12.120000,11.422807,6900
2009-08-27,11.960000,12.130000,11.890000,12.130000,11.432233,7300
2009-08-28,12.250000,12.470000,12.020000,12.060000,11.366260,85900
2009-08-31,12.000000,12.020000,11.940000,12.000000,11.309713,30900
2009-09-01,11.950000,12.110000,11.770000,11.780000,11.102365,84200
2009-09-02,11.680000,11.800000,11.680000,11.720000,11.045816,16200
2009-09-03,11.780000,11.860000,11.680000,11.860000,11.177763,58600
2009-09-04,11.840000,12.060000,11.840000,12.060000,11.366260,8400
2009-09-08,12.160000,12.170000,12.080000,12.160000,11.460506,9900
2009-09-09,12.120000,12.360000,12.120000,12.350000,11.639576,20000
2009-09-10,12.360000,12.480000,12.280000,12.460000,11.743249,43200
2009-09-11,12.480000,12.480000,12.410000,12.450000,11.733823,3300
2009-09-14,12.360000,12.600000,12.360000,12.600000,11.875195,15000
2009-09-15,12.500000,12.760000,12.500000,12.750000,12.016567,69400
2009-09-16,12.850000,12.990000,12.780000,12.990000,12.242762,38800
2009-09-17,12.990000,13.150000,12.930000,12.990000,12.242762,46600
2009-09-18,13.020000,13.100000,12.960000,13.080000,12.327583,36400
2009-09-21,12.920000,13.020000,12.850000,12.920000,12.176788,23700
2009-09-22,13.020000,13.060000,12.990000,13.020000,12.271035,9700
2009-09-23,13.000000,13.040000,12.780000,12.790000,12.054264,25900
2009-09-24,12.790000,12.790000,12.560000,12.650000,11.922318,16800
2009-09-25,12.550000,12.680000,12.550000,12.570000,11.846922,32700
2009-09-28,12.830000,12.860000,12.810000,12.820000,12.082544,3400
2009-09-29,12.780000,12.910000,12.780000,12.820000,12.082544,10300
2009-09-30,12.770000,12.910000,12.550000,12.790000,12.054264,55500
2009-10-01,12.690000,12.690000,12.410000,12.470000,11.752675,41600
2009-10-02,12.360000,12.460000,12.320000,12.350000,11.639576,305100
2009-10-05,12.350000,12.580000,12.350000,12.540000,11.818645,4100
2009-10-06,12.650000,12.800000,12.630000,12.710000,11.978868,19900
2009-10-07,12.740000,12.740000,12.670000,12.700000,11.969443,4400
2009-10-08,12.910000,12.990000,12.820000,12.870000,12.129665,24100
2009-10-09,12.860000,12.910000,12.860000,12.890000,12.148515,5500
2009-10-12,12.930000,13.030000,12.920000,12.940000,12.195638,17900
2009-10-13,12.900000,12.900000,12.810000,12.890000,12.148515,21800
2009-10-14,12.990000,13.030000,12.980000,13.010000,12.261612,6400
2009-10-15,12.950000,12.980000,12.890000,12.970000,12.223911,32000
2009-10-16,12.910000,12.960000,12.820000,12.960000,12.214490,75700
2009-10-19,12.950000,13.120000,12.950000,13.080000,12.327583,12500
2009-10-20,12.960000,12.960000,12.790000,12.880000,12.139088,14900
2009-10-21,12.970000,13.010000,12.850000,12.860000,12.120236,4100
2009-10-22,12.670000,12.870000,12.630000,12.870000,12.129665,8500
2009-10-23,12.830000,12.830000,12.740000,12.740000,12.007145,1800
2009-10-26,12.720000,12.910000,12.600000,12.620000,11.894047,29800
2009-10-27,12.560000,12.560000,12.240000,12.280000,11.573601,97400
2009-10-28,12.350000,12.350000,11.990000,11.990000,11.300286,22100
2009-10-29,12.130000,12.240000,12.080000,12.220000,11.517056,82100
2009-10-30,12.200000,12.210000,11.900000,11.980000,11.290862,39600
2009-11-02,11.850000,12.080000,11.770000,11.920000,11.234309,83000
2009-11-03,11.940000,12.140000,11.940000,12.130000,11.432233,16000
2009-11-04,12.300000,12.330000,12.170000,12.250000,11.545332,45700
2009-11-05,12.230000,12.510000,12.230000,12.510000,11.790377,11800
